page_id	baseline_chars	retrieval_class	packet	ocr_flags	review_note
chunk_024:p0001	0	false-empty-recovery	Excerpts_Kern	empty_ocr	baseline empty; scan recovers narrow handwritten label `Excerpts Kern`
chunk_024:p0002	143	short-text/title	printed_Hendrik_Kern_1899		short handwritten cover/title; bibliographical elements scan-verified
chunk_024:p0003	0	blank/no-substantive	divider_or_endpaper	empty_ocr	genuine blank inside cover/endpaper
chunk_024:p0004	1168	usable	printed_Hendrik_Kern_1899	html_scaffolding_removed	printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0005	3705	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0006	4253	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0007	4242	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0008	4208	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0009	4262	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0010	4213	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0011	4047	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0012	4253	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0013	4250	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0014	4143	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0015	4042	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0016	3770	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0017	4269	usable	printed_Hendrik_Kern_1899	html_scaffolding_removed	printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0018	4148	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0019	4107	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
chunk_024:p0020	3993	usable	printed_Hendrik_Kern_1899		printed page; OCR sufficient for retrieval with ordinary typographic noise
