page_id	visual_class	note
p0001	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0004	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0007	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0010	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0013	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0017	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0018	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0022	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0023	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0024	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0029	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0035	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0038	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0040	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0043	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0044	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0058	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0062	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0066	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0067	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0073	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0074	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0077	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0080	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0084	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0089	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0091	short-text	One short handwritten slip plus a blank slip; baseline OCR empty. Short visible text is substantive but too faint for safe exact quotation here.
p0096	short-text	Exact printed letterhead: The Laura Spelman Rockefeller Memorial / 61 Broadway / New York; no substantive body text visible.
p0100	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0134	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0135	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0147	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0148	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0158	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0163	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0164	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0167	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0168	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0173	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0179	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
p0182	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0183	short-text	Exact printed letterhead: The Laura Spelman Rockefeller Memorial / 61 Broadway / New York; no substantive body text visible.
p0184	false-empty-recovery	Populated mounted board with substantive handwritten slips despite empty baseline OCR; exact quotation requires direct scan reading.
p0237	blank-no-substantive	No substantive text visible; blank card/sheet/cover or blank side.
