page_id	baseline_ocr	visual_resolution	note
p0001	empty	blank-no-substantive	blank green cover/folder; no substantive text visible
p0027	empty	blank-no-substantive	blank green cover/folder
p0037	empty	blank-no-substantive	blank green cover/folder
p0046	empty	blank-no-substantive	blank green cover/folder
p0054	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0055	empty	false-empty-recovery	mounted board with multiple substantive handwritten slips; baseline OCR completely empty
p0057	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0060	empty	false-empty-recovery	mounted board with multiple substantive slips and a table-like insert; baseline OCR empty
p0064	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0067	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0070	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0074	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0076	empty	false-empty-recovery	mounted board with multiple substantive handwritten/printed slips; baseline OCR empty
p0077	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0081	empty	short-text	folder/cover label reads 'Godsdienst verslag'
p0087	empty	false-empty-recovery	mounted board with multiple substantive slips, including tabular slips; baseline OCR empty
p0088	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0091	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0095	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0098	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0101	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0105	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0109	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0113	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0114	empty	false-empty-recovery	mounted board with three substantive handwritten slips; baseline OCR empty
p0116	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0120	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0123	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0129	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0133	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0134	empty	false-empty-recovery	mounted board with multiple substantive handwritten slips; baseline OCR empty
p0136	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0137	empty	false-empty-recovery	mounted board with three substantive handwritten slips; baseline OCR empty
p0139	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0140	empty	false-empty-recovery	mounted board with two substantive handwritten slips; baseline OCR empty
p0141	empty	false-empty-recovery	mounted board with two substantive handwritten slips; baseline OCR empty
p0142	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0147	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0151	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0169	empty	short-text	printed Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead; no substantive body text visible
p0173	empty	short-text	envelope with a faint handwritten archival label; exact wording not secure
p0174	empty	short-text	printed Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead
p0177	empty	false-empty-recovery	mounted board with two substantive handwritten slips plus envelope; baseline OCR empty
p0182	empty	short-text	printed Laura Spelman Rockefeller Memorial / 61 Broadway / New York letterhead
p0197	empty	short-text	small card with printed/typed '1463' only
p0213	empty	short-text	small narrow card with minimal marks/short archival text; no substantive continuous note
p0214	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0224	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0225	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0228	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0230	empty	false-empty-recovery	mounted board with five slips, at least four containing substantive handwritten text; baseline OCR empty
p0231	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
p0234	empty	blank-no-substantive	blank card/sheet/envelope; no substantive text visible
