page	block_count	markdown_len	all_block_text_len	labels	markdown_preview
2	2	0	52	header,number	
3	0	0	0		
5	17	3286	3302	doc_title,text,text,text,text,text,text,text,text,text,text,text,text,table,aside_text,number,number	# UITTREKSEL UIT HET REGLEMENT DER KONINKLIJKE BIBLIOTHEEK, vastgesteld bij beschikkingen van den Minister van Binnenlandsche Zaken van 21 October, 6 November 1884 en 29 Maart 1896
6	24	3089	3089	paragraph_title,text,text,text,text,text,text,text,text,text,text,text,text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text,vertical_text	#### UITTREKSEL UIT HET REGLEMENT DER KONINKLIJKE BIBLIOTHEEK, vastgesteld bij beschikkingen van den Minister van Binnenlandsche Zaken van 21 October, 6 November 1884 en 29 Maart 1
11	10	9507	9548	text,table,table,table,table,table,table,table,footer_image,table	V.106, rouill voyard que, and 1083, la princes le intervent émerge quament en Zétoussé, c'est dont quoi la Zétoussé est appartient toujours... <table border=1 style='margin: auto; 
12	17	2157	2157	text,text,table,text,text,text,text,text,text,text,text,text,text,text,text,text,text	du and la Christ, Saint Pierre et worn was et seignant Local Antigoument. Aces aet-dà2 pour sous marin desjoids a regard and et de la preséind 900 part launch to launch into provis
18	4	2315	2328	image,table,header,text	"<div style=""text-align: center;""><img src=""imgs/img_in_image_box_442_18_1085_1947.jpg"" alt=""Image"" width=""21%"" /> <div style=""text-align: center;""><img src=""imgs/img_in_image_box_4"
20	13	2135	2232	text,text,text,text,table,text,text,text,text,image,table,footer,footer	Victic models can add more defense banc... newborns will not persist ... two deviceti minents boxills of 4 from transmission Colective On the other hand, no commentaries are permit
25	23	2001	2001	text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text	A com 425. my Gotham. clims Ept. space. ×11 in. mean of 27m Cost tures 1105 20110 T. Towerdown is 600,-×11. P. 360.-1incipient copi- explair for it. It is ANB.MernawXXVI.230/2.1891
26	12	1976	1990	text,text,text,text,text,text,text,text,header,text,text,text	is a very primary category The concept of its (expressed at all simple in the clip and civilizations. It is a just the three best playing divisions, I mean the Greek, the English, 
28	2	26	36	number,text	Alg. Cultuarwe. tenschap
30	3	0	46	number,footer,footer	
32	19	2525	2552	header,header,text,text,table,text,text,text,text,text,text,table,text,text,text,text,text,text,text	— goladown. In Gowan for sermonhood short. You bepermit Zija? - Len ander was Comptige be oververper op hen psalte wasder Töber, een hundtsoe <table border=1 style='margin: auto; w
35	2	0	42	header,number	
37	20	2230	2280	header,header,header,text,text,text,text,text,text,paragraph_title,text,text,text,text,text,text,text,text,text,text	Sominkelte koopraden, so, mood Binnon actet /aren Beesog dit bock Communis eu leg deren bring von leit von het thom de histoiien Xyabun Aijzonoen 1) Schalkaner van SLOANE 693 Aan d
40	2	26	26	text,text	eustammon 50sevenkuvested
42	16	2070	2082	header,text,text,text,image,paragraph_title,text,text,text,text,text,text,text,text,text,text	rightopen Uaslandnis Schillas' (Gimmingen 1905). heed icernond andond. de mon andor h stop gambon! My son patient sof hot hot is cast period: his conserving on same in zji Aebesani
58	19	1920	1987	header,text,text,text,text,header,text,text,text,text,text,text,text,text,text,text,text,text,number	Celebes Kräimew Redeel Seram _____ Tameram Amborina Krämer Missvol Tanern. The limit hierbigt in den prospectues van genwend Arahiv. Met mindful for grove, out van mup vrons, 却 تزن
61	13	1931	1943	table,header,table,table,text,text,text,text,table,table,text,text,text	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>alg. cret. hist. Bolang\n31.x. 2 ond.</td></tr></table> <tab
67	1	0	16	header	
68	8	4595	4595	table,table,table,table,table,table,text,text	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>169. c&#x27;est avec ALB, 8,92, qui en la limite langle elle
69	11	3926	3955	header,text,header,text,table,text,table,table,table,table,table	Steven van Doornijk † 1200 lot paad: een Zie城区 in de scool, de schoeleje jamben alder het nieuw loe. de jop. Maver reccame, men bazelt moebiel. dig voor het wezen ofs, de wleesel. 
71	1	0	19	header	
72	0	0	0		
73	2	9	23	header,text	Aவரஸ்துமை
74	9	2551	2565	header,text,text,text,text,text,text,text,text	الجزء الموليد عنه ابن العد بن علم بن رشد slud. these. (ur. math. mod. p416 - 1169 kadi van Servilla. 10m Topaid presenteer kan ass Almo- hada. dispultant per ham. 1195 campagne la 
75	12	2253	2279	header,header,table,text,text,text,text,text,text,text,text,text	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>ralt. De stieving</td><td style='text-align: center; word-wr
76	10	2313	2341	header,header,text,text,text,text,text,text,paragraph_title,text	1277 B. U. Parys, Etienne Tempier vers ordette 219 Stelle. in de fac. art. onderwaxen, es excomm. de auides erwan. er waren er 20 van Thomas Big! De seud. august tinianem wilder 20
77	10	2406	2438	text,text,text,text,text,text,image,text,footer,footer	In Dalsie jane's old aanmoopingspun law- mat die wasad in gasea. van Bon.VIII genooton. Fincia, lus des Tagen B. des aclam, 1902 ; Wenck, War B.VIII ein Kelzer HZ 94; Scholz, Zeit 
82	9	1915	1928	header,table,text,text,text,table,text,text,text	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>locijne z</td></tr><tr><td style='text-align: center; word-w
83	1	0	9	header	
86	1	0	22	header	
88	2	9	23	text,footer	Corporate
89	0	0	0		
92	2	27	31	number,text	Aegictind & was Hieronymed
95	1	0	17	header	
97	5	2178	2178	table,text,table,table,text	<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>Csp, zijn oude vriend,</td><td style='text-align: center; wo
98	2	0	24	header,header	
100	9	2461	2476	header,text,text,text,text,text,text,text,text	Het onslaan oder school, meta, bedwicht een markt, contient le v.d. welensea. geest, autoriteit tot unitiekt hautes, cludes, sciences religiosas, VII. 1896. Endres, über den Ussmun
101	14	11152	11181	header,header,image,text,text,text,text,text,table,text,text,text,text,table	"<div style=""text-align: center;""><img src=""imgs/img_in_image_box_329_40_1138_1991.jpg"" alt=""Image"" width=""27%"" /> <div style=""text-align: center;""><img src=""imgs/img_in_image_box_3"
102	22	2477	2507	header,header,text,text,text,text,text,text,table,text,text,text,paragraph_title,paragraph_title,text,paragraph_title,text,text,text,text,text,text	Bepaide and Wood (Barbaren er Christel (ongens), is an else kwood een mediciin) dialecticus. mag. leol. la parys. - genere. organg. handdell von Irinitсit, stali ein bestilling mit
105	1	0	12	header	
106	9	1982	1995	header,text,text,text,text,text,text,text,text	Bole de eccl.me. dingenen laans da- mengewal: fac. de Voragine, dom. le- genola ourea. Will. Durandus, Rationale divin- norum officium, alles was sed. 92 eem over liturgie geereren
108	1	4	4	paragraph_title	## 1
109	1	0	8	header	
110	2	0	39	header,footer	
111	1	0	14	footer	
112	0	0	0		
114	0	0	0		
118	1	0	7	header	
121	0	0	0		
124	1	0	23	header	
126	16	2639	2714	header,header,header,header,text,text,text,text,text,text,text,text,table,text,table,text	ning closmechaned door let the pailout. Not was ever we i nsects of the woann his zipin Lipfengeloog, so derte hoid hat zipin innenwieder. das bock. at die wrenck der Gochend ern s
128	0	0	0		
131	1	0	18	header	
134	0	0	0		
139	17	2066	2094	header,header,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text	In de verlad gerijde een cruz za, heeft de koel woanganger von de aan Van Lemper's toespeel los aven wornword; ook, fische witzweing den wil voor de in u bol brooisto slotte / loge
142	1	0	9	header	
145	1	0	25	header	
148	2	0	28	number,header	
