page_id	visual_resolution	note
p0001	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0003	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0018	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0019	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0021	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0028	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0031	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0032	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0034	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0037	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0040	false-empty-recovery	visual review: four substantive mounted slips; complete baseline OCR false negative
p0041	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0045	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0046	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0049	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0050	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0053	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0056	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0059	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0062	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0063	false-empty-recovery	visual review: multiple mounted slips plus card; complete baseline OCR false negative
p0064	false-empty-recovery	visual review: two substantive mounted slips; complete baseline OCR false negative
p0065	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0069	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0075	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0082	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0084	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0086	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0091	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0096	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0102	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0111	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0114	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0117	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0120	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0123	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0128	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0133	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0142	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0146	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0148	short-text	visual review: one short mounted handwritten slip; baseline OCR empty
p0149	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0152	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0159	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
