chunk_024_page	matching_chunk_023_page	status	basis
chunk_024:p0004	chunk_023:p0179	duplicate printed page/spread	scan sequence + near-identical OCR text (`HENDRIK KERN` opening)
chunk_024:p0005	chunk_023:p0180	duplicate printed page/spread	scan sequence + matching continuous text
chunk_024:p0006	chunk_023:p0181	duplicate printed page/spread	scan sequence + matching continuous text
chunk_024:p0007	chunk_023:p0182	duplicate printed page/spread	scan sequence + matching continuous text
chunk_024:p0008	chunk_023:p0183	duplicate printed page/spread	scan sequence + matching continuous text
chunk_024:p0009	chunk_023:p0184	duplicate printed page/spread	scan sequence + matching continuous text
chunk_024:p0010	chunk_023:p0185	duplicate printed page/spread	scan sequence + matching Çakuntalâ / M. de Vries material
chunk_024:p0011	chunk_023:p0186	duplicate printed page/spread	scan sequence + matching Sanskrit-professorship/Thorbecke material
chunk_024:p0012	chunk_023:p0187	duplicate printed page/spread	scan sequence + matching `International Sanscrit Insurance Company` / `Mutual Praise Society` passage
chunk_024:p0013	[no chunk_023 counterpart]	printed continuation beyond chunk 023	continues directly from p0012 into the Indian-education discussion; new surviving printed material
